file,start_time,end_time,cosine_similarity,mean_absolute_error,pearson_correlation,top_k_agreement,top_1_agreement,model1_top1_species,model1_top1_prob,model2_top1_species,model2_top1_prob
Barred_Owl_614257.mp3,9.0,9.727291666666666,0.6569316983222961,0.00018698698841035366,0.6576671004295349,0.4,1.0,Siren Siren (),0.04888916015625,Siren Siren (),0.372314453125
Barred_Owl_784609.mp3,0.0,2.8560625,0.9953036308288574,9.634150774218142e-05,0.9953027963638306,0.4,1.0,Strix varia Barred Owl (),0.7490234375,Strix varia Barred Owl (),0.93994140625
Belted_Kingfisher_116225.mp3,0.0,3.0,0.04777427762746811,0.0002730929118115455,0.04315939173102379,0.0,0.0,Conocephalus brevipennis Short-winged Meadow Katydid (),0.2822265625,Engine Engine (),0.046356201171875
Belted_Kingfisher_116225.mp3,3.0,6.0,0.05467705428600311,0.00028770294738933444,0.05230110138654709,0.0,0.0,Conocephalus brevipennis Short-winged Meadow Katydid (),0.1588134765625,Power tools Power tools (),0.266845703125
Belted_Kingfisher_116225.mp3,6.0,6.55,0.6560129523277283,0.00018311211897525936,0.6526250243186951,0.4,1.0,Siren Siren (),0.10479736328125,Siren Siren (),0.053985595703125
Black_capped_Chickadee_703254.mp3,0.0,1.4009791666666667,0.005553250201046467,0.0002703016216401011,0.0022973755840212107,0.0,0.0,None,0.0,Poecile carolinensis Carolina Chickadee (),0.7880859375
Blue_Jay_121372.mp3,0.0,3.0,0.12208592891693115,0.00015514261031057686,0.12156078964471817,0.4,0.0,Charadrius vociferus Killdeer (),0.54296875,Asio otus Long-eared Owl (),0.11480712890625
Blue_Jay_121372.mp3,3.0,6.0,0.2352650761604309,8.6731139163021e-05,0.23392225801944733,0.2,0.0,Accipiter gentilis Northern Goshawk (),0.0567626953125,Power tools Power tools (),0.032012939453125
Blue_Jay_121372.mp3,6.0,6.44,0.1374647170305252,0.00017664115875959396,0.12199950218200684,0.0,0.0,None,0.0,Engine Engine (),0.07708740234375
Blue_Jay_362427.mp3,0.0,2.1526666666666667,0.05148088186979294,0.00015183648793026805,0.047848258167505264,0.0,0.0,Hylophilus amaurocephalus Gray-eyed Greenlet (),0.1883544921875,None,0.0
Blue_Jay_754900.mp3,0.0,3.0,0.033330656588077545,0.0002060621918644756,0.03218045458197594,0.0,0.0,None,0.0,Cyanocitta cristata Blue Jay (),0.97021484375
